Rank,Borough,Neighborhood,Nearest ZipCodes,,,
1,Manhattan,TriBeCa,"10012, 10013, 10014",,,
2,Manhattan,SoHo,"10012, 10013, 10014",,,
3,Manhattan,Garment District,"10010, 10016, 10017, 10022",,,
4,Manhattan,Hudson Square,10013,,,
5,Brooklyn,DUMBO,"11201, 11205, 11215, 11217, 11231",,,
6,Manhattan,West Village,"10004, 10005, 10006, 10007, 10038, 10280",,,
7,Brooklyn,Boerum Hill,"11201, 11205, 11215, 11217, 11231",,,
8,Manhattan,Flatiron District,"10010, 10016, 10017, 10022",,,
9,Manhattan,Greenwich Village,"10012, 10013, 10014",,,
10,Manhattan,Little Italy,"10012, 10013",,,
11,Manhattan,Central Midtown,"10001, 10011, 10018, 10019, 10020, 10036",,,
12,Manhattan,Chelsea,"10001, 10011, 10018, 10019, 10020, 10036",,,
13,Manhattan,Theatre District - Times Square,"10001, 10011, 10018, 10019, 10020, 10036",,,
14,Brooklyn,Greenpoint,"11211, 11222",,,
15,Brooklyn,Carroll Gardens,"11201, 11205, 11215, 11217, 11231",,,
16,Brooklyn,Gowanus,"11215, 11217, 11231",,,
17,Manhattan,Upper East Side,"10021, 10028, 10044, 10065, 10075, 10128",,,
18,Manhattan,Roosevelt Island,10044,,,
19,Manhattan,Upper West Side,"10023, 10024, 10025",,,
19,Manhattan,East Village,"10002, 10003, 10009",,,
20,Brooklyn,Fort Greene,"11201, 11205, 11217, 11238",,,
21,Manhattan,Gramercy Park,"10010, 10016, 10017, 10022",,,
22,Brooklyn,Prospect Heights,"11217, 11238",,,
23,Brooklyn,Park Slope,"11215, 11217",,,
24,Manhattan,Battery Park City,"10280, 10282",,,
25,Manhattan,Lower East Side,"10002, 10003, 10009",,,
26,Brooklyn,Brooklyn Heights,"11201, 11205, 11215, 11217, 11231",,,
27,Manhattan,Financial District,"10004, 10005, 10006, 10007, 10038, 10280",,,
28,Brooklyn,Mill Basin,11234,,,
29,Brooklyn,Manhattan Beach,"11223, 11224, 11229, 11235",,,
30,Brooklyn,Greenwood Heights,"11220, 11232",,,
31,Manhattan,Clinton - Hell's Kitchen,"10001, 10011, 10018, 10019, 10020, 10036",,,
32,Manhattan,Sutton Place,10022,,,
33,Brooklyn,Williamsburg,"11206, 11221, 11237",,,
34,Brooklyn,Columbia Street Waterfront District,"11201, 11205, 11215, 11217, 11231",,,
35,Brooklyn,Dyker Heights,11228,,,
36,Brooklyn,Cobble Hill,"11201, 11205, 11215",,,
37,Brooklyn,Fiske Terrace,"11204, 11218, 11219, 11230",,,
38,Manhattan,Murray Hill,"10010, 10016, 10017, 10022",,,
39,Queens,East Flushing,"11354, 11355, 11356, 11357, 11358, 11359, 11360",,,
40,Queens,Belle Harbor,11694,,,
41,Brooklyn,Downtown Brooklyn,"11223, 11224, 11229, 11235",,,
42,Queens,Hunters Point,"11101, 11102, 11103, 11104, 11105, 11106",,,
43,Queens,Queensboro Hill,"11354, 11355, 11356, 11357, 11358, 11359, 11360",,,
44,Manhattan,Turtle Bay,"10017, 10022",,,
45,Queens,Auburndale,"11358, 11361, 11364, 11365",,,
46,Queens,Fresh Meadows,"11365, 11366",,,
47,Brooklyn,Borough Park,"11219, 11218, 11204",,,
48,Queens,Hollis Hills,"11427, 11364",,,
49,Brooklyn,Windsor Terrace,"11201, 11205, 11215",,,
49,Manhattan,Chinatown,"10013, 10002",,,
50,Brooklyn,Sea Gate,"11223, 11224, 11229, 11235",,,
,,,,,,
,,,,,,
